,number,value,datetime_start,datetime_complete,duration,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0,8.965429767638922,2024-11-03 16:19:33.057365,2024-11-03 16:19:40.859820,0 days 00:00:07.802455,13,1,4,172,COMPLETE
1,1,8.519937127068433,2024-11-03 16:19:33.058214,2024-11-03 16:19:40.688143,0 days 00:00:07.629929,14,1,3,133,COMPLETE
2,2,9.806205997865096,2024-11-03 16:19:33.059049,2024-11-03 16:19:40.262528,0 days 00:00:07.203479,12,2,2,136,COMPLETE
3,3,9.880670251172527,2024-11-03 16:19:33.059729,2024-11-03 16:19:40.886732,0 days 00:00:07.827003,17,2,3,192,COMPLETE
4,4,9.157842676142128,2024-11-03 16:19:33.060834,2024-11-03 16:19:39.964248,0 days 00:00:06.903414,20,2,5,115,COMPLETE
5,5,8.6927284314732,2024-11-03 16:19:33.061688,2024-11-03 16:19:39.480165,0 days 00:00:06.418477,17,1,5,104,COMPLETE
6,6,9.737059190039123,2024-11-03 16:19:33.062219,2024-11-03 16:19:39.379976,0 days 00:00:06.317757,11,2,2,155,COMPLETE
7,7,9.934139411076673,2024-11-03 16:19:33.062706,2024-11-03 16:19:40.784028,0 days 00:00:07.721322,18,2,2,177,COMPLETE
8,8,9.267567508366042,2024-11-03 16:19:39.385520,2024-11-03 16:19:42.070995,0 days 00:00:02.685475,16,2,5,109,COMPLETE
9,9,9.850222629691286,2024-11-03 16:19:39.481876,2024-11-03 16:19:42.086268,0 days 00:00:02.604392,15,2,3,165,COMPLETE
10,10,9.711072061985364,2024-11-03 16:19:39.966350,2024-11-03 16:19:42.296161,0 days 00:00:02.329811,16,2,5,145,COMPLETE
11,11,8.878075900208039,2024-11-03 16:19:40.268487,2024-11-03 16:19:43.887815,0 days 00:00:03.619328,14,1,4,124,COMPLETE
12,12,8.948187120030264,2024-11-03 16:19:40.689407,2024-11-03 16:19:46.161422,0 days 00:00:05.472015,14,1,4,125,COMPLETE
13,13,8.933061750664363,2024-11-03 16:19:40.784723,2024-11-03 16:19:46.363022,0 days 00:00:05.578299,14,1,4,126,COMPLETE
14,14,8.537940223134022,2024-11-03 16:19:40.877679,2024-11-03 16:19:46.269363,0 days 00:00:05.391684,13,1,4,122,COMPLETE
15,15,8.912611803947588,2024-11-03 16:19:40.887294,2024-11-03 16:19:46.684434,0 days 00:00:05.797140,14,1,4,128,COMPLETE
16,16,8.983421918536987,2024-11-03 16:19:42.071662,2024-11-03 16:19:47.385325,0 days 00:00:05.313663,19,1,4,129,COMPLETE
17,17,8.612915205167848,2024-11-03 16:19:42.086704,2024-11-03 16:19:46.969606,0 days 00:00:04.882902,10,1,4,102,COMPLETE
18,18,8.324110619481898,2024-11-03 16:19:42.296586,2024-11-03 16:19:47.597247,0 days 00:00:05.300661,19,1,4,100,COMPLETE
19,19,8.510466993372862,2024-11-03 16:19:43.889067,2024-11-03 16:19:47.887795,0 days 00:00:03.998728,10,1,3,150,COMPLETE
20,20,8.519922819573907,2024-11-03 16:19:46.175280,2024-11-03 16:19:49.778329,0 days 00:00:03.603049,20,1,3,200,COMPLETE
21,21,8.66165042943012,2024-11-03 16:19:46.273415,2024-11-03 16:19:49.355816,0 days 00:00:03.082401,20,1,3,189,COMPLETE
22,22,8.5602224602103,2024-11-03 16:19:46.368700,2024-11-03 16:19:51.580216,0 days 00:00:05.211516,20,1,3,199,COMPLETE
23,23,8.545540712729006,2024-11-03 16:19:46.685990,2024-11-03 16:19:54.085112,0 days 00:00:07.399122,20,1,3,194,COMPLETE
24,24,8.516027781776277,2024-11-03 16:19:46.971121,2024-11-03 16:19:53.359969,0 days 00:00:06.388848,10,1,3,148,COMPLETE
25,25,8.530934474969314,2024-11-03 16:19:47.385768,2024-11-03 16:19:53.781378,0 days 00:00:06.395610,10,1,3,149,COMPLETE
26,26,8.508191211003995,2024-11-03 16:19:47.674422,2024-11-03 16:19:55.379321,0 days 00:00:07.704899,19,1,3,199,COMPLETE
27,27,8.461984628689384,2024-11-03 16:19:47.888377,2024-11-03 16:19:54.289191,0 days 00:00:06.400814,19,1,3,152,COMPLETE
